version,stop_id,group,src,entry_time,entry_px,stop_px,stop_dist_pct,year,stopped,censored,max_R,bars_to_exit
V2,S1,BASE_S1,0.236-5,2019-06-24 19:30,10911.86,10768.84,1.3107,2019,1,0,21.3826,835
V2,S1,BASE_S1,0.236-5,2019-06-28 19:40,12364.22,12202.16,1.3107,2019,1,0,0.5394,12
V2,S1,BASE_S1,0.236-5,2019-06-26 02:05,11891.00,11735.15,1.3107,2019,1,0,13.3394,373
V2,S1,BASE_S1,0.236-5,2019-06-21 21:30,9909.96,9780.07,1.3107,2019,1,0,31.2579,2980
V2,S1,BASE_S1,0.236-6,2019-07-04 05:50,11626.53,11337.91,2.4824,2019,1,0,0.9094,207
V2,S1,BASE_S1,0.236-6,2019-06-28 08:35,11554.99,11268.14,2.4824,2019,1,0,3.2248,639
V2,S1,BASE_S1,0.236-6,2019-06-29 04:45,11686.55,11396.44,2.4824,2019,1,0,1.9215,396
V2,S1,BASE_S1,0.236-6,2019-07-03 02:45,11277.76,10997.80,2.4824,2019,1,0,0.8403,74
V2,S1,BASE_S1,0.236-6,2019-07-03 03:35,11186.33,10908.64,2.4824,2019,1,0,1.1764,67
V2,S1,BASE_S1,0.236-6,2019-06-27 10:15,12028.06,11729.47,2.4824,2019,1,0,1.1117,35
V2,S1,BASE_S1,0.236-6,2019-07-02 09:35,10254.13,9999.58,2.4824,2019,1,0,0.0000,17
V2,S1,BASE_S1,0.236-6,2019-06-27 20:00,11029.96,10756.15,2.4824,2019,1,0,0.0366,3
V2,S1,BASE_S1,0.236-6,2019-06-28 11:15,12003.56,11705.58,2.4824,2019,1,0,0.6693,19
V2,S1,BASE_S1,0.236-6,2019-06-24 15:40,10926.22,10654.98,2.4824,2019,1,0,11.2218,922
V2,S1,BASE_S1,0.236-6,2019-07-04 01:00,11805.01,11511.96,2.4824,2019,1,0,0.4504,113
V2,S1,BASE_S1,0.236-6,2019-06-27 21:05,10721.27,10455.12,2.4824,2019,1,0,6.6081,1077
V2,S1,BASE_S1,0.236-6,2019-07-02 09:35,10254.13,9999.58,2.4824,2019,1,0,0.0000,17
V2,S1,BASE_S1,0.236-6,2019-06-28 04:40,11150.68,10873.87,2.4824,2019,1,0,4.8023,805
V2,S1,BASE_S1,0.236-6,2019-06-24 19:20,10924.36,10653.17,2.4824,2019,1,0,11.2306,878
V2,S1,BASE_S1,0.236-6,2019-06-29 21:15,12130.00,11828.88,2.4824,2019,1,0,0.2288,32
V2,S1,BASE_S1,0.236-6,2019-06-24 11:55,10924.44,10653.25,2.4824,2019,1,0,11.2302,967
V2,S1,BASE_S1,0.236-6,2019-06-27 05:45,12891.34,12571.32,2.4824,2019,1,0,0.1865,8
V2,S1,BASE_S1,0.236-6,2019-06-26 11:25,12681.19,12366.39,2.4824,2019,1,0,4.0940,111
V2,S1,BASE_S1,0.236-6,2019-06-27 02:00,12869.34,12549.87,2.4824,2019,1,0,0.8932,53
V2,S1,BASE_S1,0.236-7,2019-07-14 22:20,10638.30,10437.69,1.8857,2019,1,0,0.0986,8
V2,S1,BASE_S1,0.236-7,2019-07-12 00:35,11360.49,11146.26,1.8857,2019,1,0,0.7446,39
V2,S1,BASE_S1,0.236-7,2019-07-06 16:15,11576.39,11358.09,1.8857,2019,1,0,0.0000,57
V2,S1,BASE_S1,0.236-7,2019-07-07 07:25,11220.24,11008.66,1.8857,2019,1,0,9.1068,1312
V2,S1,BASE_S1,0.236-7,2019-07-11 08:35,11405.01,11189.94,1.8857,2019,1,0,1.7529,142
V2,S1,BASE_S1,0.236-7,2019-07-06 09:25,11317.07,11103.66,1.8857,2019,1,0,1.6303,145
V2,S1,BASE_S1,0.236-7,2019-07-10 05:05,13025.00,12779.38,1.8857,2019,1,0,0.1587,24
V2,S1,BASE_S1,0.236-7,2019-07-11 23:40,11247.03,11034.94,1.8857,2019,1,0,3.0080,523
