version,candidate_id,entry_time,entry_px,year,r_6h,r_24h,r_3d,r_7d,r_14d,r_30d,base_mean_6h,base_mean_24h,base_mean_3d,base_mean_7d,base_mean_14d,base_mean_30d,excess_6h,excess_24h,excess_3d,excess_7d,excess_14d,excess_30d
V2,0.236-96,2025-06-10 14:30,108643.91,2025,0.00842,0.01573,-0.04017,-0.03125,-0.02914,0.02120,0.00146,0.00175,0.00340,-0.01141,-0.00420,0.08005,0.00696,0.01398,-0.04357,-0.01984,-0.02495,-0.05885
V2,0.236-97,2025-08-13 02:15,119122.60,2025,0.00490,0.03442,-0.01187,-0.04999,-0.06850,-0.03092,0.00212,-0.00355,-0.00802,-0.02938,-0.06601,-0.04453,0.00278,0.03797,-0.00384,-0.02061,-0.00249,0.01361
V2,0.236-98,2025-12-03 14:00,91965.83,2025,0.01014,0.00606,-0.02522,0.00074,-0.04825,-0.02878,-0.00328,-0.00511,-0.00667,-0.00495,-0.03612,-0.00243,0.01342,0.01116,-0.01855,0.00569,-0.01213,-0.02635
V2,0.236-99,2026-01-08 12:00,90276.75,2026,0.01189,0.00210,0.00523,0.06822,-0.00322,-0.27741,-0.00041,0.00237,0.01012,0.02555,-0.00274,-0.23765,0.01230,-0.00027,-0.00489,0.04267,-0.00048,-0.03976
V2,0.236-100,2026-08-22 05:10,77062.14,2026,-0.00258,-0.01534,0.04432,-,-,-,0.00808,0.02334,0.07787,-,-,-,-0.01066,-0.03868,-0.03355,-,-,-
V2,0.236-101,2026-08-25 09:50,79367.75,2026,-0.00040,-0.01227,-0.00065,-,-,-,0.00424,0.01081,0.02423,-,-,-,-0.00464,-0.02308,-0.02488,-,-,-
V3,0.236-1,2020-01-07 16:00,7883.47,2020,0.02203,0.05027,0.02932,0.08299,0.09424,0.22058,0.00719,0.01295,0.04807,0.09163,0.12603,0.23428,0.01483,0.03732,-0.01876,-0.00864,-0.03179,-0.01370
V3,0.236-2,2020-01-12 04:00,8096.13,2020,0.00304,0.00026,0.07345,0.12346,0.03267,0.18531,0.00421,0.01085,0.02937,0.07066,0.06302,0.20202,-0.00117,-0.01059,0.04408,0.05280,-0.03035,-0.01671
V3,0.236-3,2020-01-17 16:00,8856.15,2020,0.00709,0.00922,-0.01894,-0.04199,0.05680,0.11339,0.01200,0.01693,0.02116,0.00723,0.07118,0.16848,-0.00492,-0.00771,-0.04010,-0.04922,-0.01438,-0.05510
V3,0.236-4,2020-01-28 15:00,8996.09,2020,0.00982,0.03494,0.03197,0.02049,0.09251,-0.01304,0.00563,0.01194,0.02559,0.06035,0.11711,-0.00361,0.00419,0.02300,0.00638,-0.03986,-0.02460,-0.00943
